direction;service;nature;annee;mois;count;
Direction des services techniques;Bâtiment ;Services;2012;avril;1
Direction des services techniques;Sécurité;Services;2012;juillet;1
Direction administrative et financière ;Régie ;Services;2012;octobre;1
Direction des expositions et publications;Service des expositions;Services;2012;octobre;1
Direction administrative et financière ;Achats marchés ;Services;2012;novembre;2
Direction des expositions et publications;Service des expositions;Services;2012;novembre;1
Direction des services techniques;Sécurité;Services;2012;décembre;1
Direction des expositions et publications;Service des expositions;Services;2013;janvier;1
Direction administrative et financière ;Moyens généraux ;Fournitures;2013;mars;1
Direction des collections ;Achats marchés ;Travaux;2013;mars;1
Direction des expositions et publications;Service des expositions;Services;2013;mars;3
Direction des services techniques;Systèmes d'information;Services;2013;mars;1
Direction des services techniques;Bâtiment ;Travaux;2013;mars;1
Direction des services techniques;Sécurité;Services;2013;avril;1
Direction des services techniques;Bâtiment ;Travaux;2013;avril;2
Direction administrative et financière ;Moyens généraux ;Services;2013;mai;2
Direction des collections ;Achats marchés ;Services;2013;mai;1
Direction des services techniques;Sécurité;Services;2013;mai;3
Direction des collections ;Acquisition, conservation, et restauration ;Services;2013;juin;2
Direction des collections ;Informatisation et numérisation;Services;2013;juillet;1
Direction des services techniques;Systèmes d'information;Services;2013;juillet;2
Direction des services techniques;Systèmes d'information;Travaux;2013;juillet;1
Direction des expositions et publications;Service des expositions;Services;2013;août;2
Direction des services techniques;Bâtiment ;Services;2013;août;2
Direction des expositions et publications;Service des expositions;Services;2013;septembre;2
Direction des services techniques;Systèmes d'information;Travaux;2013;septembre;1
Direction des expositions et publications;Service des expositions;Services;2013;décembre;1
Direction des ressources humaines;Relations humaines et sociales;Services;2013;décembre;1
Direction des services techniques;Systèmes d'information;Fournitures;2013;décembre;1
Direction des services techniques;Bâtiment ;Services;2013;décembre;1
Direction administrative et financière ;Financier ;Fournitures;2014;janvier;1
Direction des collections ;Informatisation et numérisation;Services;2014;janvier;1
Direction des ressources humaines;Relations humaines et sociales;Services;2014;février;1
Direction des services techniques;Systèmes d'information;Fournitures;2014;février;1
Direction des services techniques;Sécurité;Travaux;2014;février;1
Direction des expositions et publications;Service des expositions;Services;2014;avril;1
Direction des collections ;Acquisition, conservation, et restauration ;Services;2014;mai;3
Direction des expositions et publications;Service des expositions;Services;2014;mai;3
Direction des ressources humaines;Emploi/formation;Services;2014;mai;1
Direction administrative et financière ;Moyens généraux ;Services;2014;juin;1
Direction des collections ;Achats marchés ;Fournitures;2014;juin;1
Direction des collections ;Informatisation et numérisation;Services;2014;juin;2
Direction des expositions et publications;Service des expositions;Fournitures;2014;juin;1
Direction des expositions et publications;Service des expositions;Services;2014;juin;2
Direction des expositions et publications;Service des expositions;Travaux;2014;juin;3
Direction des services techniques;Bâtiment ;Fournitures;2014;juin;1
Direction des services techniques;Systèmes d'information;Services;2014;juin;2
Direction des collections ;Acquisition, conservation, et restauration ;Services;2014;juillet;1
Direction des expositions et publications;Service des expositions;Fournitures;2014;juillet;1
Direction des expositions et publications;Service des publications;Services;2014;juillet;1
Direction des expositions et publications;Service des publications;Travaux;2014;juillet;4
Direction des expositions et publications;Service des publications;Services;2014;septembre;1
Direction des expositions et publications;Service des publications;Fournitures;2014;octobre;1
Direction des ressources humaines;Emploi/formation;Services;2014;octobre;1
Direction des collections ;Acquisition, conservation, et restauration ;Services;2014;novembre;2
Direction des expositions et publications;Service des publications;Services;2014;novembre;6
Direction des expositions et publications;Service des publications;Travaux;2014;novembre;4
Direction des services techniques;Bâtiment ;Services;2014;novembre;1
Direction des expositions et publications;Service des publications;Services;2014;décembre;3
Direction des expositions et publications;Service des publications;Travaux;2014;décembre;2
Direction des expositions et publications;Service des publications;Services;2015;janvier;1
Direction administrative et financière ;Financier ;Fournitures;2015;juin;1
Direction administrative et financière ;Régie ;Services;2015;juin;2
Direction des services techniques;Sécurité;Services;2015;juin;1
Direction administrative et financière ;Juridique ;Fournitures;2015;octobre;2
